"Odseljeni zaposleni prebivalci po dejavnosti, spolu in državljanstvu, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"SPOL";"DEJAVNOST";Odseljeni zaposleni prebivalci
"2015";"Državljani RS";"Ženske";"Informacijske in komunikacijske dejavnosti";34
"2015";"Državljani RS";"Ženske";"Finanène in zavarovalniške dejavnosti";20
"2015";"Državljani RS";"Ženske";"Poslovanje z nepremièninami";0
"2015";"Državljani RS";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";112
"2015";"Državljani RS";"Ženske";"Druge raznovrstne poslovne dejavnosti";42
"2015";"Državljani RS";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";51
"2015";"Državljani RS";"Ženske";"Izobraževanje";61
"2015";"Državljani RS";"Ženske";"Zdravstvo in socialno varstvo";134
"2015";"Državljani RS";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";20
"2015";"Državljani RS";"Ženske";"Druge dejavnosti";22
"2015";"Državljani RS";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";2
"2015";"Državljani RS";"Ženske";"Dejavnost eksteritorialnih organizacij in teles";0
"2016";"Državljani RS";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";12
"2016";"Državljani RS";"Moški";"Rudarstvo";3
"2016";"Državljani RS";"Moški";"Predelovalne dejavnosti";274
"2016";"Državljani RS";"Moški";"Oskrba z elektrièno energijo, plinom in paro";5
"2016";"Državljani RS";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";5
"2016";"Državljani RS";"Moški";"Gradbeništvo";192
"2016";"Državljani RS";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";160
"2016";"Državljani RS";"Moški";"Promet in skladišèenje";115
"2016";"Državljani RS";"Moški";"Gostinstvo";77
"2016";"Državljani RS";"Moški";"Informacijske in komunikacijske dejavnosti";106
"2016";"Državljani RS";"Moški";"Finanène in zavarovalniške dejavnosti";25
"2016";"Državljani RS";"Moški";"Poslovanje z nepremièninami";2
"2016";"Državljani RS";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";138
"2016";"Državljani RS";"Moški";"Druge raznovrstne poslovne dejavnosti";80
"2016";"Državljani RS";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";74
"2016";"Državljani RS";"Moški";"Izobraževanje";46
