"Priseljeni tujci po namenu priselitve in državi državljanstva, Slovenija, letno"

"LETO";"DRŽAVA DRŽAVLJANSTVA";"NAMEN PRISELITVE";Priseljeni tujci
"2009";"Bosna in Hercegovina";"Združitev z družino";2193
"2009";"Bosna in Hercegovina";"Študij";89
"2009";"Bosna in Hercegovina";"Drugo";55
"2009";"Bosna in Hercegovina";"Neznano";988
"2009";"Hrvaška";"Zaposlitev";757
"2009";"Hrvaška";"Sezonsko delo";z
"2009";"Hrvaška";"Združitev z družino";285
"2009";"Hrvaška";"Študij";138
"2009";"Hrvaška";"Drugo";67
"2009";"Hrvaška";"Neznano";z
"2009";"Srbija";"Zaposlitev";1981
"2009";"Srbija";"Sezonsko delo";12
"2009";"Srbija";"Združitev z družino";441
"2009";"Srbija";"Študij";60
"2009";"Srbija";"Drugo";19
"2009";"Srbija";"Neznano";394
"2009";"Srbija in Èrna gora";"Zaposlitev";...
"2009";"Srbija in Èrna gora";"Sezonsko delo";...
"2009";"Srbija in Èrna gora";"Združitev z družino";...
"2009";"Srbija in Èrna gora";"Študij";...
"2009";"Srbija in Èrna gora";"Drugo";...
"2009";"Srbija in Èrna gora";"Neznano";...
"2009";"Èrna gora";"Zaposlitev";41
"2009";"Èrna gora";"Sezonsko delo";z
"2009";"Èrna gora";"Združitev z družino";44
"2009";"Èrna gora";"Študij";7
"2009";"Èrna gora";"Drugo";0
"2009";"Èrna gora";"Neznano";z
"2009";"Kosovo";"Zaposlitev";2357
"2009";"Kosovo";"Sezonsko delo";84
"2009";"Kosovo";"Združitev z družino";763
"2009";"Kosovo";"Študij";21
"2009";"Kosovo";"Drugo";13
"2009";"Kosovo";"Neznano";338
"2009";"Druge evropske države";"Zaposlitev";2064
"2009";"Druge evropske države";"Sezonsko delo";26
"2009";"Druge evropske države";"Združitev z družino";960
"2009";"Druge evropske države";"Študij";139
"2009";"Druge evropske države";"Drugo";14
"2009";"Druge evropske države";"Neznano";461
"2009";"Neevropske države";"Zaposlitev";456
"2009";"Neevropske države";"Sezonsko delo";9
"2009";"Neevropske države";"Združitev z družino";253
"2009";"Neevropske države";"Študij";28
"2009";"Neevropske države";"Drugo";9
"2009";"Neevropske države";"Neznano";123
"2009";"Neznano";"Zaposlitev";5
"2009";"Neznano";"Sezonsko delo";0
"2009";"Neznano";"Združitev z družino";14
"2009";"Neznano";"Študij";0
"2009";"Neznano";"Drugo";0
"2009";"Neznano";"Neznano";3
"2010";"Države EU";"Zaposlitev";1431
"2010";"Države EU";"Sezonsko delo";...
"2010";"Države EU";"Združitev z družino";218
"2010";"Države EU";"Študij";37
"2010";"Države EU";"Drugo";289
"2010";"Države EU";"Neznano";50
"2010";"... Hrvaška";"Zaposlitev";...
"2010";"... Hrvaška";"Sezonsko delo";...
"2010";"... Hrvaška";"Združitev z družino";...
"2010";"... Hrvaška";"Študij";...
"2010";"... Hrvaška";"Drugo";...
"2010";"... Hrvaška";"Neznano";...
"2010";"... druge države èlanice EU";"Zaposlitev";...
"2010";"... druge države èlanice EU";"Sezonsko delo";...
"2010";"... druge države èlanice EU";"Združitev z družino";...
