"Priseljeni zaposleni prebivalci po dejavnosti, državljanstvu in spolu, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"SPOL";"DEJAVNOST";Priseljeni zaposleni prebivalci
"2016";"Tuji državljani";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";37
"2016";"Tuji državljani";"Moški";"Gradbeništvo";1615
"2016";"Tuji državljani";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";381
"2016";"Tuji državljani";"Moški";"Promet in skladišèenje";1650
"2016";"Tuji državljani";"Moški";"Gostinstvo";203
"2016";"Tuji državljani";"Moški";"Informacijske in komunikacijske dejavnosti";85
"2016";"Tuji državljani";"Moški";"Finanène in zavarovalniške dejavnosti";13
"2016";"Tuji državljani";"Moški";"Poslovanje z nepremièninami";42
"2016";"Tuji državljani";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";324
"2016";"Tuji državljani";"Moški";"Druge raznovrstne poslovne dejavnosti";472
"2016";"Tuji državljani";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";0
"2016";"Tuji državljani";"Moški";"Izobraževanje";43
"2016";"Tuji državljani";"Moški";"Zdravstvo in socialno varstvo";20
"2016";"Tuji državljani";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";52
"2016";"Tuji državljani";"Moški";"Druge dejavnosti";23
"2016";"Tuji državljani";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";10
"2016";"Tuji državljani";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2016";"Tuji državljani";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";3
"2016";"Tuji državljani";"Ženske";"Rudarstvo";0
"2016";"Tuji državljani";"Ženske";"Predelovalne dejavnosti";142
"2016";"Tuji državljani";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";1
"2016";"Tuji državljani";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";0
"2016";"Tuji državljani";"Ženske";"Gradbeništvo";31
"2016";"Tuji državljani";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";117
"2016";"Tuji državljani";"Ženske";"Promet in skladišèenje";26
"2016";"Tuji državljani";"Ženske";"Gostinstvo";131
"2016";"Tuji državljani";"Ženske";"Informacijske in komunikacijske dejavnosti";34
"2016";"Tuji državljani";"Ženske";"Finanène in zavarovalniške dejavnosti";3
"2016";"Tuji državljani";"Ženske";"Poslovanje z nepremièninami";34
"2016";"Tuji državljani";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";122
"2016";"Tuji državljani";"Ženske";"Druge raznovrstne poslovne dejavnosti";233
"2016";"Tuji državljani";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";1
"2016";"Tuji državljani";"Ženske";"Izobraževanje";40
"2016";"Tuji državljani";"Ženske";"Zdravstvo in socialno varstvo";34
"2016";"Tuji državljani";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";18
"2016";"Tuji državljani";"Ženske";"Druge dejavnosti";47
"2016";"Tuji državljani";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";2
"2016";"Tuji državljani";"Ženske";"Dejavnost eksteritorialnih organizacij in teles";0
"2017";"Tuji državljani";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";40
"2017";"Tuji državljani";"Moški";"Rudarstvo";5
"2017";"Tuji državljani";"Moški";"Predelovalne dejavnosti";1358
"2017";"Tuji državljani";"Moški";"Oskrba z elektrièno energijo, plinom in paro";9
"2017";"Tuji državljani";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";13
"2017";"Tuji državljani";"Moški";"Gradbeništvo";1960
"2017";"Tuji državljani";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";378
"2017";"Tuji državljani";"Moški";"Promet in skladišèenje";2288
"2017";"Tuji državljani";"Moški";"Gostinstvo";225
"2017";"Tuji državljani";"Moški";"Informacijske in komunikacijske dejavnosti";99
"2017";"Tuji državljani";"Moški";"Finanène in zavarovalniške dejavnosti";13
"2017";"Tuji državljani";"Moški";"Poslovanje z nepremièninami";72
"2017";"Tuji državljani";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";303
"2017";"Tuji državljani";"Moški";"Druge raznovrstne poslovne dejavnosti";627
"2017";"Tuji državljani";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";0
"2017";"Tuji državljani";"Moški";"Izobraževanje";53
"2017";"Tuji državljani";"Moški";"Zdravstvo in socialno varstvo";17
"2017";"Tuji državljani";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";72
"2017";"Tuji državljani";"Moški";"Druge dejavnosti";36
"2017";"Tuji državljani";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";7
"2017";"Tuji državljani";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2017";"Tuji državljani";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";8
"2017";"Tuji državljani";"Ženske";"Rudarstvo";0
"2017";"Tuji državljani";"Ženske";"Predelovalne dejavnosti";140
"2017";"Tuji državljani";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";0
"2017";"Tuji državljani";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";0
"2017";"Tuji državljani";"Ženske";"Gradbeništvo";25
"2017";"Tuji državljani";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";95
"2017";"Tuji državljani";"Ženske";"Promet in skladišèenje";36
"2017";"Tuji državljani";"Ženske";"Gostinstvo";161
"2017";"Tuji državljani";"Ženske";"Informacijske in komunikacijske dejavnosti";34
"2017";"Tuji državljani";"Ženske";"Finanène in zavarovalniške dejavnosti";4
"2017";"Tuji državljani";"Ženske";"Poslovanje z nepremièninami";26
"2017";"Tuji državljani";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";94
"2017";"Tuji državljani";"Ženske";"Druge raznovrstne poslovne dejavnosti";288
"2017";"Tuji državljani";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";2
"2017";"Tuji državljani";"Ženske";"Izobraževanje";36
"2017";"Tuji državljani";"Ženske";"Zdravstvo in socialno varstvo";39
"2017";"Tuji državljani";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";26
"2017";"Tuji državljani";"Ženske";"Druge dejavnosti";44
"2017";"Tuji državljani";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";7
"2017";"Tuji državljani";"Ženske";"Dejavnost eksteritorialnih organizacij in teles";0
"2018";"Tuji državljani";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";75
"2018";"Tuji državljani";"Moški";"Rudarstvo";14
"2018";"Tuji državljani";"Moški";"Predelovalne dejavnosti";3368
"2018";"Tuji državljani";"Moški";"Oskrba z elektrièno energijo, plinom in paro";14
"2018";"Tuji državljani";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";29
"2018";"Tuji državljani";"Moški";"Gradbeništvo";4862
"2018";"Tuji državljani";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";565
"2018";"Tuji državljani";"Moški";"Promet in skladišèenje";3272
"2018";"Tuji državljani";"Moški";"Gostinstvo";392
"2018";"Tuji državljani";"Moški";"Informacijske in komunikacijske dejavnosti";104
"2018";"Tuji državljani";"Moški";"Finanène in zavarovalniške dejavnosti";15
"2018";"Tuji državljani";"Moški";"Poslovanje z nepremièninami";85
"2018";"Tuji državljani";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";407
"2018";"Tuji državljani";"Moški";"Druge raznovrstne poslovne dejavnosti";935
"2018";"Tuji državljani";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";1
"2018";"Tuji državljani";"Moški";"Izobraževanje";60
"2018";"Tuji državljani";"Moški";"Zdravstvo in socialno varstvo";34
"2018";"Tuji državljani";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";73
"2018";"Tuji državljani";"Moški";"Druge dejavnosti";63
"2018";"Tuji državljani";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";5
"2018";"Tuji državljani";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2018";"Tuji državljani";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";7
"2018";"Tuji državljani";"Ženske";"Rudarstvo";0
"2018";"Tuji državljani";"Ženske";"Predelovalne dejavnosti";363
"2018";"Tuji državljani";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";2
"2018";"Tuji državljani";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";2
"2018";"Tuji državljani";"Ženske";"Gradbeništvo";56
"2018";"Tuji državljani";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";123
"2018";"Tuji državljani";"Ženske";"Promet in skladišèenje";47
"2018";"Tuji državljani";"Ženske";"Gostinstvo";293
"2018";"Tuji državljani";"Ženske";"Informacijske in komunikacijske dejavnosti";45
"2018";"Tuji državljani";"Ženske";"Finanène in zavarovalniške dejavnosti";15
"2018";"Tuji državljani";"Ženske";"Poslovanje z nepremièninami";32
"2018";"Tuji državljani";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";110
"2018";"Tuji državljani";"Ženske";"Druge raznovrstne poslovne dejavnosti";266
