"Prebivalstvo, staro 15 ali veè let, po izobrazbi, petletnih starostnih skupinah in spolu, statistiène regije, letno"

"LETO";"SPOL";"STAROST";"STATISTIÈNA REGIJA";"IZOBRAZBA";Prebivalstvo, staro 15 ali veè let
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Srednja strokovna, srednja splošna";30184
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Višješolska, visokošolska - Skupaj";18938
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Visokošolska 1. stopnje ipd.";8346
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Visokošolska 2. stopnje ipd.";9381
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Obalno-kraška";"Visokošolska 3. stopnje ipd.";1211
"2013";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Brez izobrazbe, nepopolna osnovnošolska";3683
"2013";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Osnovnošolska";33231
"2013";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Srednješolska - Skupaj";51591
"2013";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Nižja poklicna, srednja poklicna";23806
"2013";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Srednja strokovna, srednja splošna";27785
"2013";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Višješolska, visokošolska - Skupaj";14074
"2013";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Visokošolska 1. stopnje ipd.";7046
"2013";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Visokošolska 2. stopnje ipd.";6333
"2013";"Spol - SKUPAJ";"Starost - SKUPAJ";"Pomurska";"Visokošolska 3. stopnje ipd.";695
"2013";"Spol - SKUPAJ";"Starost - SKUPAJ";"Podravska";"Brez izobrazbe, nepopolna osnovnošolska";10409
