"Razpoložljivi dohodek gospodinjstev (EUR), statistiène regije, Slovenija, letno"

"MERITVE";"STATISTIÈNA REGIJA";"LETO";"DOHODEK";Razpoložljivi dohodek gospodinjstev (EUR)
"Povpreèni dohodek na èlana gospodinjstva";"Goriška";"2015";"Dohodek po socialnih transferjih";8384
"Povpreèni dohodek na èlana gospodinjstva";"Goriška";"2016";"Dohodek po socialnih transferjih";8227
"Povpreèni dohodek na èlana gospodinjstva";"Goriška";"2017";"Dohodek po socialnih transferjih";8871
"Povpreèni dohodek na èlana gospodinjstva";"Goriška";"2018";"Dohodek po socialnih transferjih";8907
"Povpreèni dohodek na èlana gospodinjstva";"Goriška";"2019";"Dohodek po socialnih transferjih";9799
"Povpreèni dohodek na èlana gospodinjstva";"Obalno-kraška";"2008";"Dohodek po socialnih transferjih";7868
"Povpreèni dohodek na èlana gospodinjstva";"Obalno-kraška";"2009";"Dohodek po socialnih transferjih";8289
"Povpreèni dohodek na èlana gospodinjstva";"Obalno-kraška";"2010";"Dohodek po socialnih transferjih";8350
"Povpreèni dohodek na èlana gospodinjstva";"Obalno-kraška";"2011";"Dohodek po socialnih transferjih";8483
"Povpreèni dohodek na èlana gospodinjstva";"Obalno-kraška";"2012";"Dohodek po socialnih transferjih";8655
"Povpreèni dohodek na èlana gospodinjstva";"Obalno-kraška";"2013";"Dohodek po socialnih transferjih";8687
"Povpreèni dohodek na èlana gospodinjstva";"Obalno-kraška";"2014";"Dohodek po socialnih transferjih";8853
"Povpreèni dohodek na èlana gospodinjstva";"Obalno-kraška";"2015";"Dohodek po socialnih transferjih";9769
"Povpreèni dohodek na èlana gospodinjstva";"Obalno-kraška";"2016";"Dohodek po socialnih transferjih";9419
"Povpreèni dohodek na èlana gospodinjstva";"Obalno-kraška";"2017";"Dohodek po socialnih transferjih";9847
"Povpreèni dohodek na èlana gospodinjstva";"Obalno-kraška";"2018";"Dohodek po socialnih transferjih";9818
"Povpreèni dohodek na èlana gospodinjstva";"Obalno-kraška";"2019";"Dohodek po socialnih transferjih";10194
